nome,price,desc,ano,fotos,km
BMW impecável - 2001,32000,100 km | Câmbio: automático | Gasolina,2001,6,100
Zafira confort 2007 - 7 lugares - 2007,22000,182.000 km | Câmbio: manual | Flex,2007,4,182000
,0,,0,0,0
Corolla - 2015,71000,67.000 km | Câmbio: automático | Flex,2015,18,67000
TH - Citroen Aircross GLX Completo - Aceito Troca - 2011,31900,109.000 km | Câmbio: manual | Flex,2011,6,109000
CHEVROLET ONIX 2018/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2018,37900,34.500 km | Câmbio: manual | Flex,2018,0,34500
Fiat Uno - 2016,32900,34.000 km | Câmbio: manual | Flex,2016,8,34000
FIAT 500 2014/2014 1.4 CABRIO 8V FLEX 2P AUTOMATIZADO - 2014,45990,63.000 km | Câmbio: automático | Flex,2014,5,63000
Siena 2008- flex - 4 portas - 2008,17000,132.000 km | Câmbio: manual | Flex,2008,3,132000
Honda Hr-v EX 1.8 Flexone Automático - 2018,87500,14.146 km | Câmbio: automático | Flex,2018,19,14146
Voyage - 1986,1100,100.000 km | Câmbio: manual | Álcool,1986,3,100000
Sportage 2013 LX 2.0 AT - 2013,0,1 km | Câmbio: automático | Flex,2013,5,1
CHEVROLET ONIX 2015/2016 1.4 MPFI LTZ 8V FLEX 4P AUTOMATICO - 2016,42900,73.458 km | Câmbio: automático | Flex,2016,5,73458
** Fit - 2013,0,0 km | Câmbio: manual | Flex,2013,3,0
Hyundai HB20 Confort Plus 1.6 Flex Automático Baixo Km 12 988699993 - 2015,44900,68.540 km | Câmbio: automático | Flex,2015,5,68540
,0,,0,0,0
Toyota Etios XLS 1.5 Automático 2018 completão! - 2018,0,25.775 km | Câmbio: automático | Flex,2018,11,25775
Citroen Ds3 1.6 flex turbo 2013 - 4733 - 2013,39900,1 km | Câmbio: manual | Flex,2013,10,1
DFSJC/ VW Golf GTI 2.0 2014 alemão - 2014,0,75.000 km | Câmbio: automático | Flex,2014,6,75000
Uno way evo 1.0 flex completo 2013 - shopping jk - 2024 - 2013,26990,1 km | Câmbio: manual | Flex,2013,2,1
Strada working 1.4 cab estendida 2014 - 2014,35900,45.000 km | Câmbio: manual | Flex,2014,6,45000
G\ Nissan Versa - 2018,0,0 km | Flex,2018,4,0
F*R Chevrolet Classic 1.0 Flex - 2014,0,98.700 km | Câmbio: manual | Flex,2014,6,98700
Gm - Chevrolet Agile 1.4 flex impecável pneus novos - 2011,24900,1 km | Câmbio: manual | Flex,2011,12,1
,0,,0,0,0
Kia Motors Cerato - 2009,29000,184.646 km | Câmbio: automático | Gasolina,2009,11,184646
Vw - Volkswagen Voyage G5 Completo - 2010,23890,125.000 km | Câmbio: manual | Flex,2010,7,125000
Gm - Chevrolet Cobalt completo + baixo km - 2015,35890,81.000 km | Câmbio: manual | Flex,2015,6,81000
Vw - Volkswagen Voyage - 2015,34800,45.824 km | Câmbio: manual | Flex,2015,6,45824
CHEVROLET ONIX 1.0 MT LT 2016 - 2016,36900,55.890 km | Câmbio: manual | Flex,2016,18,55890
Prisma 2012 - 2012,21500,137.000 km | Câmbio: manual | Flex,2012,4,137000
Prisma 2015 - 2015,34000,120.000 km | Câmbio: manual,2015,6,120000
HONDA CIVIC 2014/2014 1.8 LXS 16V FLEX 4P AUTOMÁTICO - 2014,49900,110.000 km | Câmbio: automático | Flex,2014,5,110000
Honda Fit - 2015,58000,83 km | Câmbio: automático | Flex,2015,1,83
C3 exclusive 1.4 2012 único dono - 2012,24500,55.000 km | Câmbio: manual | Flex,2012,6,55000
,0,,0,0,0
Radiador de fusca,0,1 km,0,0,0
GN - Onix 1.4 LTZ 2015 - 2015,0,46.000 km,2015,6,0
Gm - Chevrolet Celta Life 1.0 - AG Veículos - 2010,14900,100.000 km | Câmbio: manual | Flex,2010,9,100000
Gm - Chevrolet Celta - 2012,17000,96.000 km | Câmbio: manual | Flex,2012,9,96000
Gm - Chevrolet Cruze - 2012,21000,102.200 km | Câmbio: automático | Flex,2012,7,102200
Renault Sandeiro Expression 1.6 - 2018,42000,48.135 km | Câmbio: manual | Flex,2018,6,48135
FIesta 2011 em perfeito estado 60km rodado.tem manual chave reserva - 2011,19000,60 km | Câmbio: manual | Flex,2011,5,60
Hyundai Tucson 2.0 - Completa - 2011 - 2011,28800,163.558 km | Câmbio: manual | Gasolina,2011,8,163558
Gm - Chevrolet Cruze - 2015,54000,50.600 km | Câmbio: automático | Flex,2015,4,50600
Gm - Chevrolet Spin - 2017,55000,23.000 km | Câmbio: automático | Flex,2017,6,23000
Vw - Polo 1.6 2010 Lindo Unica Dona - 2010,25500,130 km | Câmbio: manual | Flex,2010,9,130
Vendo Fiat uno - 1997,6500,303.000 km | Câmbio: manual | Flex,1997,6,303000
Peugeot 206 - 2008,8000,139.000 km | Câmbio: automático | Flex,2008,2,139000
Sandeiro - 2016,28500,71.675 km | Câmbio: manual | Gasolina,2016,6,71675
Voyage 1.0 flex 2013 completo - 2013,29900,113.000 km | Câmbio: manual | Flex,2013,7,113000
Vendo ou troco Ecosport Freestyle ano 09 já financiada - 2009,20000,150.000 km | Câmbio: manual | Flex,2009,4,150000
Chery Celler - 2015,0,37.700 km | Câmbio: manual | Flex,2015,0,37700
Vectra - 1999,11000,215.000 km | Câmbio: manual | Gás Natural,1999,6,215000
BMW impecável - 2001,32000,100 kmautomáticoGasolina,2001,6,0
Zafira confort 2007 - 7 lugares - 2007,22000,182.000 kmmanualFlex,2007,4,0
,0,,0,0,0
Corolla - 2015,71000,67.000 kmautomáticoFlex,2015,18,0
TH - Citroen Aircross GLX Completo - Aceito Troca - 2011,31900,109.000 kmmanualFlex,2011,6,0
CHEVROLET ONIX 2018/2018 1.0 MPFI JOY 8V FLEX 4P MANUAL - 2018,37900,34.500 kmmanualFlex,2018,0,0
Fiat Uno - 2016,32900,34.000 kmmanualFlex,2016,8,0
FIAT 500 2014/2014 1.4 CABRIO 8V FLEX 2P AUTOMATIZADO - 2014,45990,63.000 kmautomáticoFlex,2014,5,0
Siena 2008- flex - 4 portas - 2008,17000,132.000 kmmanualFlex,2008,3,0
Honda Hr-v EX 1.8 Flexone Automático - 2018,87500,14.146 kmautomáticoFlex,2018,19,0
Voyage - 1986,1100,100.000 kmmanualÁlcool,1986,3,0
Sportage 2013 LX 2.0 AT - 2013,0,1 kmautomáticoFlex,2013,5,0
CHEVROLET ONIX 2015/2016 1.4 MPFI LTZ 8V FLEX 4P AUTOMATICO - 2016,42900,73.458 kmautomáticoFlex,2016,5,0
** Fit - 2013,0,0 kmmanualFlex,2013,3,0
Hyundai HB20 Confort Plus 1.6 Flex Automático Baixo Km 12 988699993 - 2015,44900,68.540 kmautomáticoFlex,2015,5,0
,0,,0,0,0
Toyota Etios XLS 1.5 Automático 2018 completão! - 2018,0,25.775 kmautomáticoFlex,2018,11,0
Citroen Ds3 1.6 flex turbo 2013 - 4733 - 2013,39900,1 kmmanualFlex,2013,10,0
DFSJC/ VW Golf GTI 2.0 2014 alemão - 2014,0,75.000 kmautomáticoFlex,2014,6,0
Uno way evo 1.0 flex completo 2013 - shopping jk - 2024 - 2013,26990,1 kmmanualFlex,2013,2,0
Strada working 1.4 cab estendida 2014 - 2014,35900,45.000 kmmanualFlex,2014,6,0
G\ Nissan Versa - 2018,0,0 kmFlex,2018,4,0
F*R Chevrolet Classic 1.0 Flex - 2014,0,98.700 kmmanualFlex,2014,6,0
Gm - Chevrolet Agile 1.4 flex impecável pneus novos - 2011,24900,1 kmmanualFlex,2011,12,0
,0,,0,0,0
Kia Motors Cerato - 2009,29000,184.646 kmautomáticoGasolina,2009,11,0
Vw - Volkswagen Voyage G5 Completo - 2010,23890,125.000 kmmanualFlex,2010,7,0
Gm - Chevrolet Cobalt completo + baixo km - 2015,35890,81.000 kmmanualFlex,2015,6,0
Vw - Volkswagen Voyage - 2015,34800,45.824 kmmanualFlex,2015,6,0
CHEVROLET ONIX 1.0 MT LT 2016 - 2016,36900,55.890 kmmanualFlex,2016,18,0
Prisma 2012 - 2012,21500,137.000 kmmanualFlex,2012,4,0
Prisma 2015 - 2015,34000,120.000 kmmanual,2015,6,0
HONDA CIVIC 2014/2014 1.8 LXS 16V FLEX 4P AUTOMÁTICO - 2014,49900,110.000 kmautomáticoFlex,2014,5,0
Honda Fit - 2015,58000,83 kmautomáticoFlex,2015,1,0
C3 exclusive 1.4 2012 único dono - 2012,24500,55.000 kmmanualFlex,2012,6,0
,0,,0,0,0
Radiador de fusca,0,1 km,0,0,0
GN - Onix 1.4 LTZ 2015 - 2015,0,46.000 km,2015,6,0
Gm - Chevrolet Celta Life 1.0 - AG Veículos - 2010,14900,100.000 kmmanualFlex,2010,9,0
Gm - Chevrolet Celta - 2012,17000,96.000 kmmanualFlex,2012,9,0
Gm - Chevrolet Cruze - 2012,21000,102.200 kmautomáticoFlex,2012,7,0
Renault Sandeiro Expression 1.6 - 2018,42000,48.135 kmmanualFlex,2018,6,0
FIesta 2011 em perfeito estado 60km rodado.tem manual chave reserva - 2011,19000,60 kmmanualFlex,2011,5,0
Hyundai Tucson 2.0 - Completa - 2011 - 2011,28800,163.558 kmmanualGasolina,2011,8,0
Gm - Chevrolet Cruze - 2015,54000,50.600 kmautomáticoFlex,2015,4,0
Gm - Chevrolet Spin - 2017,55000,23.000 kmautomáticoFlex,2017,6,0
Vw - Polo 1.6 2010 Lindo Unica Dona - 2010,25500,130 kmmanualFlex,2010,9,0
Vendo Fiat uno - 1997,6500,303.000 kmmanualFlex,1997,6,0
Peugeot 206 - 2008,8000,139.000 kmautomáticoFlex,2008,2,0
Sandeiro - 2016,28500,71.675 kmmanualGasolina,2016,6,0
Voyage 1.0 flex 2013 completo - 2013,29900,113.000 kmmanualFlex,2013,7,0
Vendo ou troco Ecosport Freestyle ano 09 já financiada - 2009,20000,150.000 kmmanualFlex,2009,4,0
Chery Celler - 2015,0,37.700 kmmanualFlex,2015,0,0
Vectra - 1999,11000,215.000 kmmanualGás Natural,1999,6,0
Volkswagen Fox 1.0 12v Trendline Flex Manual - 2016,37900,60.000 km | Câmbio: manual | Flex,2016,10,60000
Gol quadrado 94 - 1994,5500,0 km | Câmbio: manual | Gasolina,1994,0,0
,0,,0,0,0
"Citroen/ Picasso GLX 1.6 flex ""21.900,00 confira as fotos"" - 2010",21900,154.000 km | Câmbio: manual,2010,20,154000
Toyota Corolla Fielder - 2006,22900,156.749 km | Câmbio: automático | Gasolina,2006,5,156749
TH - Honda City 1.5 Baixa Km - Completo - Aceito Troca - Unico Dono - 2012,36900,70.000 km | Câmbio: manual | Flex,2012,6,70000
Voyage 2013 - Único Dono - Baixo km - Completo - Aceito troca - Financio 100 % Doc Gratis - 2013,7000,79.000 km | Câmbio: manual | Flex,2013,5,79000
Voyage 1.6 2010 Completo - 2010,21500,180.000 km | Câmbio: manual | Flex,2010,6,180000
Fiat Palio Attractiv 1.4 Flex Mec - 2013,27900,76.900 km | Câmbio: manual | Flex,2013,10,76900
Corsa Wind Azul Parcelas de 299 reais - 1132 - 1996,6900,100 km | Câmbio: manual | Gasolina,1996,10,100
Linda Fiat Toro 1.8 Open Edition - 2017,75900,51.000 km | Câmbio: automático | Flex,2017,12,51000
Corsa Hatch Maxx 1.4 *Abaixo da tabela - 2010,17900,185.000 km | Câmbio: manual | Flex,2010,6,185000
VOLKSWAGEN CROSSFOX 1.6 MI 8V TOTAL FLEX 2013 - 2013,36900,126.000 km | Câmbio: manual | Flex,2013,7,126000
Citroën C3 1.6 Vti Exclusive Automático - AG Veículos - 2014,38900,65.000 km | Câmbio: automático | Flex,2014,8,65000
FORD FUSION 2010/2010 3.0 SEL AWD V6 24V GASOLINA 4P AUTOMÁTICO - 2010,29990,123.000 km | Câmbio: automático | Gasolina,2010,8,123000
,0,,0,0,0
Classic 1.0 ls 2011 - 2011,19900,78.000 km | Câmbio: manual | Flex,2011,5,78000
"/Fiat Uno Drive - Completo - Sem Entrada + Parcelas de R$ 950,00 - 2018",0,30.000 km,2018,5,0
Uno 2014 KM 43. entr. 3.000 + 48x 559 - 2014,0,43.141 km | Câmbio: manual | Flex,2014,7,43141
Classic 2008 Completo - 2008,16990,175 km | Câmbio: manual | Flex,2008,4,175
Fiat Strada Freedom Cabine Dupla 1.4 3 Portas 2019 - Com 6mil Km - Raridade - 2019,61900,6.000 km | Câmbio: manual | Flex,2019,7,6000
Range R.EVOQUE Prestige 2.0 Aut. 5p - 2013,121900,60.443 km | Câmbio: automático | Gasolina,2013,12,60443
Duster aut.2016 baixo km - 2016,0,38.000 km | Câmbio: automático | Flex,2016,3,38000
"Gm - Chevrolet Cruze, Com 82 mil km , Teto solar , falar com Washington. - 2013",0,82.000 km | Câmbio: automático | Flex,2013,12,82000
,0,,0,0,0
Ford Fiesta Hatch SE 1.6 8v Flex Completo c/ air Bag Abx. da Tabela (Financia) - 2014,25900,122.000 km | Câmbio: manual | Flex,2014,16,122000
"Corolla 2009 Xei Automático, Banco de Couro, Baixo Km, Impecável! - 2009",39990,133.000 km | Câmbio: automático,2009,2,133000
Vw - Volkswagen Voyage 1.6 City - Completo - 2013 - 2013,27990,123.526 km | Câmbio: manual | Flex,2013,5,123526
Mercedes-benz c 180 1.8 Cgi Classic 16v - 2012,59900,70.109 km | Câmbio: automático | Gasolina,2012,9,70109
Jeep Compass Longitude Flex (+ Pack Premium) 0km - Pronta Entrega - 2019,113990,0 km | Câmbio: automático | Flex,2019,13,0
Mobi Like Completo zero km - 2019,38990,0 km | Câmbio: manual | Flex,2019,5,0
Eg Tiggo 2019 - 2019,0,21.268 km | Câmbio: manual | Flex,2019,6,21268
H- Peugeot 207 XR 1.4 2011 Impecável! - 2011,22900,142.000 km | Câmbio: manual | Flex,2011,14,142000
CHEVROLET SPIN LTZ 1.8 8V ECONO.FLEX AUT. 2016 - 2016,55900,47.320 km | Câmbio: automático | Flex,2016,0,47320
Duster 1.6 FLEX- tech road - mídia nav - 2013,39900,131.000 km | Câmbio: manual,2013,8,131000
,0,,0,0,0
Ford Ka - 2013,19900,78.000 km | Câmbio: manual | Flex,2013,9,78000
VOLKSWAGEN UP 1.0 MPI MOVE UP 12V FLEX 4P MANUAL - 2019,49400,0 km | Câmbio: manual | Flex,2019,2,0
Fit ex 1.5 flex automático 2014 - 2014,45900,140.000 km | Câmbio: automático | Flex,2014,9,140000
"Citroen Grand C4 Picasso Exclusive 2.0 16V - Parcela à partir de R$ 499,00 - 2010",0,130.486 km | Câmbio: automático | Gasolina,2010,3,130486
Fox I-Motion 2014 com 60 mil km Vendo / Troco / Financio - 2014,33900,1 km | Câmbio: automático | Flex,2014,10,1
HONDA CIVIC 2013/2014 1.8 LXS 16V FLEX 4P MANUAL - 2014,51900,81.000 km | Câmbio: manual | Flex,2014,16,81000
Ford Ranger 2.2 Xls 4x4 cd 16v - 2014,73990,107.000 km | Câmbio: manual | Diesel,2014,8,107000
Chevrolet Cruze 1.4 turbo sport6 ltz 16v flex 4p automático - 2018,95890,22.139 km | Câmbio: automático | Flex,2018,0,22139
TOYOTA  ETIOS 1.5 PLATINUM SEDAN 16V 2016 - 2017,52990,39.700 km | Câmbio: automático | Flex,2017,9,39700
PEUGEOT 2008 2015/2016 1.6 16V FLEX GRIFFE 4P AUTOMÁTICO - 2016,56990,60.000 km | Câmbio: automático | Flex,2016,11,60000
Ford Fiesta Sedan 1.6 Flex - 2005,16900,1 km | Câmbio: manual | Flex,2005,4,1
CHEVROLET VECTRA 2009/2010 2.0 MPFI GT-X HATCH 8V FLEX 4P MANUAL - 2010,27900,151.812 km | Câmbio: manual | Flex,2010,8,151812
"Peugeot 206 1.4 presense, cor prata, 4 portas, completo, flex - 2008",13300,0 km | Câmbio: manual | Flex,2008,9,0
Gm - Chevrolet Prisma - 2018,47700,26.000 km | Câmbio: manual | Flex,2018,0,26000
Golf 96 - 1996,0,170.000 km | Câmbio: manual | Gasolina,1996,10,170000
Peugeot 206 1.6 - 2001,12000,150.000 km | Câmbio: manual | Gasolina,2001,3,150000
Astra sedan 2.0 CD - 2003,15500,100 km | Câmbio: manual | Gasolina,2003,5,100
Fusca 1300 filé 1980,13900,56.000 km | Câmbio: manual | Gasolina,0,7,56000
EcoSport FREESTYLE 1.6 16v Flex 5portas - 2014,45300,75.000 km | Câmbio: manual,2014,6,75000
Palio Fire Celebration 2008 Troco menor valor - 2008,16900,120.000 km | Flex,2008,6,120000
,0,,0,0,0
Vectra 99 gls - 1999,0,180.000 km | Câmbio: manual | Gasolina,1999,12,180000
C3 Tendence 1.5 Flex 2015 - 2015,36900,33.000 km | Câmbio: manual | Flex,2015,6,33000
Carro - 2008,18000,150 km | Câmbio: manual | Flex,2008,4,150
Spin LT 1.8 baixo valor e quilômetro - 2013,33400,71.340 km | Câmbio: manual | Flex,2013,17,71340
Vendo Gol 1.0 mi - 1997,6500,0 km,1997,6,0
A*M Ford Ecosport 100 Carros abaixo da tabela FIPE - 2012,0,100 km | Câmbio: manual | Flex,2012,4,100
HONDA CITY 2012/2012 1.5 LX 16V FLEX 4P AUTOMÁTICO - 2012,38190,114.300 km | Câmbio: automático | Flex,2012,8,114300
Ecosport 1.6 FreeStyle Flex - 2014,45900,83.650 km | Câmbio: manual | Flex,2014,6,83650
% Mitsubishi L200 Valeria 12 988785046 - 2012,64900,130 km,2012,4,0
** 2018 - 2018,0,0 km | Câmbio: automático | Flex,2018,1,0
Gm - Chevrolet Prisma - 2015,0,101.385 km | Câmbio: manual | Flex,2015,9,101385
Ford fiesta 2008 - 2008,14600,174.000 km | Câmbio: manual | Flex,2008,1,174000
,0,,0,0,0
Fiat mobi way 1.0 4 portas - 2018,32000,42.000 km | Câmbio: manual | Flex,2018,5,42000
Citroen c4 Pallas fiz Flex automático 2009 - 2009,24900,90.000 km | Câmbio: automático | Flex,2009,6,90000
Fiat Strada - 2017,59200,20.000 km | Câmbio: manual | Flex,2017,5,20000
Fiat Palio Vendo/Troco - 2014,28500,73.000 km | Câmbio: manual | Flex,2014,7,73000
